,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
mataura,-46.19,46.0,97,100,1.01
avarua,-21.21,66.2,93,100,3.36
kavaratti,10.57,83.03,77,80,10.58
srivardhan,18.03,80.51,88,74,8.16
albany,42.65,79.43,48,75,6.93
barcelos,-0.97,89.33,53,36,5.35
punta arenas,-53.16,41.0,93,75,10.29
cape town,-33.93,56.44,93,0,3.36
mahibadhoo,3.78,83.75,75,58,7.43
deputatskiy,69.3,48.29,93,100,2.77
vaini,15.34,77.45,89,69,2.08
mahebourg,-20.41,69.44,56,75,8.05
tiksi,71.64,48.47,62,96,9.35
college,64.86,60.53,93,75,3.36
port alfred,-33.59,57.99,89,0,1.99
kruisfontein,-34.0,51.17,91,0,2.28
arraial do cabo,-22.97,77.65,50,0,6.93
iqaluit,63.75,55.18,71,75,5.82
saldanha,41.42,72.95,58,28,18.81
hobart,-42.88,42.39,95,20,11.41
bluff,-23.58,51.71,66,59,8.63
salalah,17.01,80.6,94,90,8.05
westport,41.14,82.04,54,40,12.75
merrill,42.03,72.59,63,12,1.01
harrison,39.26,86.11,35,1,5.82
jamestown,-33.21,39.29,91,0,2.24
palmer,-34.85,49.23,66,75,13.87
tarnogskiy gorodok,60.5,52.79,76,53,3.53
uda,34.53,70.07,94,90,9.17
kenai,60.55,58.84,77,40,2.44
juruti,-2.16,90.59,47,88,5.23
ushuaia,-54.81,43.56,56,75,8.05
ancud,-41.87,48.2,87,40,16.11
barrow,-38.31,57.11,39,0,3.78
touros,-5.2,84.2,66,40,11.41
atuona,-9.8,80.87,73,7,17.29
katherine,-14.47,59.0,57,76,6.93
butaritari,3.07,83.93,63,92,8.52
hermanus,-34.42,56.55,92,0,1.99
rikitea,-23.12,74.57,84,22,12.3
port blair,11.67,83.21,78,100,14.5
luganville,-15.51,70.97,97,87,1.99
challapata,-18.9,47.93,30,0,4.27
tasiilaq,65.61,42.8,81,20,11.41
dunedin,-45.87,50.0,78,100,1.99
cidreira,-30.17,62.33,87,93,10.04
kita,35.76,71.69,100,20,4.7
upata,8.02,82.99,80,7,3.0
te anau,-45.41,40.73,94,100,6.87
kapaa,22.08,77.41,78,20,16.11
fortuna,40.6,62.38,93,90,3.36
mumford,5.26,74.39,84,30,7.56
castro,-42.48,48.2,87,40,16.11
ribeira grande,38.52,71.6,94,75,11.41
hilo,19.71,71.58,60,1,8.05
ilulissat,69.22,51.8,62,40,6.93
vila velha,-3.71,82.81,69,40,17.22
norman wells,65.28,59.0,54,40,4.7
baglung,28.27,57.47,96,100,1.63
mar del plata,-46.43,50.81,47,83,17.09
naliya,23.26,84.11,79,79,24.58
kondinskoye,59.65,75.29,64,40,12.1
trelew,-43.25,55.31,40,100,15.9
gbarnga,7.0,72.59,96,100,4.23
chokurdakh,70.62,46.49,66,83,6.26
delano,35.77,86.56,35,1,3.36
cherskiy,68.75,42.71,79,36,17.38
port lincoln,-34.72,55.49,75,82,19.48
taitung,22.76,63.95,75,66,6.76
upernavik,72.79,45.95,76,93,9.73
najran,17.54,95.0,13,94,9.17
bredasdorp,-34.53,54.39,93,5,1.12
morant bay,17.88,87.8,58,20,27.51
hithadhoo,-0.6,84.47,76,20,12.01
rovaniemi,66.5,51.8,66,75,8.05
nautla,20.22,86.27,65,93,10.58
busselton,-33.64,41.72,67,0,17.63
georgetown,6.8,87.98,74,40,13.87
bethel,60.79,56.75,93,75,4.7
finschhafen,-6.6,64.13,92,100,3.56
